key,name,lv,price,job,stat_need,stat_inc
1802000,"#c착용 가능 펫# : 갈색고양이, 갈색강아지, 분홍색토끼, 미니카고, 검은색고양이, 흰색토끼, 허스키, 검은색돼지, 팬더, 디노 보이, 디노 걸, 원숭이, 아기백호, 루돌프, 미니예티, 칠면조, 주니어발록, 손오공, 주니어 리퍼, 고슴도치",0,0,[],"{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}","{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}"
1802001,"#c착용 가능 펫# : 갈색고양이, 갈색강아지, 분홍색토끼, 미니카고, 검은색고양이, 흰색토끼, 허스키, 검은색돼지, 팬더, 디노 보이, 디노 걸, 원숭이, 아기백호, 루돌프, 미니예티, 칠면조, 주니어발록, 손오공, 주니어 리퍼, 고슴도치",0,0,[],"{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}","{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}"
1802002,"#c착용 가능 펫# : 갈색고양이, 갈색강아지, 분홍색토끼, 미니카고, 검은색고양이, 흰색토끼, 허스키, 검은색돼지, 팬더, 디노 보이, 디노 걸, 원숭이, 아기백호, 루돌프, 미니예티, 칠면조, 주니어발록, 손오공, 주니어 리퍼, 고슴도치",0,0,[],"{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}","{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}"
1802003,"#c착용 가능 펫# : 갈색고양이, 갈색강아지, 분홍색토끼, 미니카고, 검은색고양이, 흰색토끼, 허스키, 검은색돼지, 팬더, 디노 보이, 디노 걸, 원숭이, 아기백호, 루돌프, 미니예티, 칠면조, 주니어발록, 손오공, 주니어 리퍼, 고슴도치",0,0,[],"{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}","{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}"
1802004,"#c착용 가능 펫# : 갈색고양이, 갈색강아지, 분홍색토끼, 미니카고, 검은색고양이, 흰색토끼, 허스키, 검은색돼지, 팬더, 디노 보이, 디노 걸, 원숭이, 아기백호, 루돌프, 미니예티, 칠면조, 주니어발록, 손오공, 주니어 리퍼, 고슴도치",0,0,[],"{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}","{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}"
1802005,"#c착용 가능 펫# : 갈색고양이, 갈색강아지, 분홍색토끼, 미니카고, 검은색고양이, 흰색토끼, 허스키, 검은색돼지, 팬더, 디노 보이, 디노 걸, 원숭이, 아기백호, 루돌프, 미니예티, 칠면조, 주니어발록, 손오공, 주니어 리퍼, 고슴도치",0,0,[],"{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}","{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}"
1802006,"#c착용 가능 펫# : 갈색고양이, 갈색강아지, 분홍색토끼, 미니카고, 검은색고양이, 흰색토끼, 허스키, 검은색돼지, 팬더, 디노 보이, 디노 걸, 원숭이, 아기백호, 루돌프, 미니예티, 칠면조, 주니어발록, 손오공, 주니어 리퍼, 고슴도치",0,0,[],"{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}","{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}"
1802007,"#c착용 가능 펫# : 갈색고양이, 갈색강아지, 분홍색토끼, 미니카고, 검은색고양이, 흰색토끼, 허스키, 검은색돼지, 팬더, 디노 보이, 디노 걸, 원숭이, 아기백호, 루돌프, 미니예티, 칠면조, 주니어발록, 손오공, 주니어 리퍼, 고슴도치",0,0,[],"{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}","{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}"
1802008,"#c착용 가능 펫# : 갈색고양이, 갈색강아지, 분홍색토끼, 미니카고, 검은색고양이, 흰색토끼, 허스키, 검은색돼지, 팬더, 디노 보이, 디노 걸, 원숭이, 아기백호, 루돌프, 미니예티, 칠면조, 주니어발록, 손오공, 주니어 리퍼, 고슴도치",0,0,[],"{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}","{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}"
1802009,"#c착용 가능 펫# : 갈색고양이, 갈색강아지, 분홍색토끼, 미니카고, 검은색고양이, 흰색토끼, 허스키, 검은색돼지, 팬더, 디노 보이, 디노 걸, 원숭이, 아기백호, 루돌프, 미니예티, 칠면조, 주니어발록, 손오공, 주니어 리퍼, 고슴도치",0,0,[],"{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}","{'str': 0, 'dex': 0, 'int': 0, 'luk': 0}"
