key,name,lv,att,exp
100000,달팽이,0,0,0
100001,파란 달팽이,0,0,0
100002,빨간 달팽이,0,0,0
100003,스포아,0,0,0
100004,주황버섯,0,0,0
100005,스텀프,0,0,0
100006,슬라임,0,0,0
100007,돼지,0,0,0
100100,달팽이,0,0,0
100101,파란 달팽이,0,0,0
100120,티노,0,0,0
100121,티브,0,0,0
100122,티무,0,0,0
100123,티루,0,0,0
100124,티구르,0,0,0
100130,무루,0,0,0
100131,무루파,0,0,0
100132,무루피아,0,0,0
100133,무루무루,0,0,0
100134,무루쿤,0,0,0
100200,불가사리,0,0,0
120100,스포아,0,0,0
130100,스텀프,0,0,0
130101,빨간 달팽이,0,0,0
150000,새싹 화분,0,0,0
150001,나팔꽃 화분,0,0,0
150002,포도주스병,0,0,0
210100,슬라임,0,0,0
1110100,초록버섯,0,0,0
1110101,다크 스텀프,0,0,0
1110130,좌절한 초록버섯,0,0,0
1120100,옥토퍼스,0,0,0
1130100,엑스텀프,0,0,0
1140100,고스텀프,0,0,0
1140130,히죽대는 고스텀프,0,0,0
1150000,순찰로봇,0,0,0
1150001,이상한 이정표,0,0,0
1150002,구렁이,0,0,0
1210100,돼지,0,0,0
1210101,리본 돼지,0,0,0
1210102,주황버섯,0,0,0
1210103,버블링,0,0,0
1210104,파란 리본돼지,0,0,0
1210111,이상한 돼지,0,0,0
1220000,노란 불가사리,0,0,0
1220001,화난 불가사리,0,0,0
1220002,젤리피쉬,0,0,0
1220003,쿨 젤리피쉬,0,0,0
2100100,흰 모래토끼,0,0,0
2100101,갈색 모래토끼,0,0,0
2100102,주니어 카투스,0,0,0
2100103,카투스,0,0,0
2100104,로얄 카투스,0,0,0
2100105,벨라모아,0,0,0
2100106,귀마개 프릴드,0,0,0
2100107,목도리 프릴드,0,0,0
2100108,미요캐츠,0,0,0
2110200,뿔버섯,0,0,0
2110300,모래 두더지,0,0,0
2110301,스콜피언,0,0,0
2130100,다크 엑스텀프,0,0,0
2130103,주니어 네키,0,0,0
2150000,물 도둑,0,0,0
2150001,더스트 박스,0,0,0
2150002,가로등,0,0,0
2150003,순찰로봇S,0,0,0
2220000,마노,0,0,0
2220100,파란버섯,0,0,0
2220110,우는 파란버섯,0,0,0
2230100,이블아이,0,0,0
2230101,좀비버섯,0,0,0
2230102,와일드보어,0,0,0
2230103,트릭스터,0,0,0
2230104,그린 트릭스터,0,0,0
2230105,씨클,0,0,0
2230106,씨코,0,0,0
2230107,크라피,0,0,0
2230108,핀붐,0,0,0
2230109,버블피쉬,0,0,0
2230110,우드 마스크,0,0,0
2230111,스톤 마스크,0,0,0
2230112,겁먹은 와일드보어,0,0,0
2230113,서전아이,0,0,0
2230114,늪진흙괴물,0,0,0
2230115,새싹진흙괴물,0,0,0
2230131,짜증내는 좀비버섯,0,0,0
2230200,플라워 피쉬,0,0,0
2300100,스티지,0,0,0
2300200,유적의 방어병,0,0,0
2300201,통통꽃,0,0,0
2300202,독독꽃,0,0,0
2300203,토기 토끼,0,0,0
2300204,향로 토끼,0,0,0
2300205,나무 숲 벌레,0,0,0
2300206,돌돌 숲 벌레,0,0,0
2300207,유적의 방어병,0,0,0
2300208,유적의 공격병,0,0,0
2300209,어둠의 잠식,0,0,0
2300210,어둠의 잠식,0,0,0
2300211,어둠의 잠식,0,0,0
2300260,위험한 토기 토끼,0,0,0
2300261,위험한 향로 토끼,0,0,0
2300262,위험한 나무 숲 벌레,0,0,0
2300263,위험한 돌돌 숲 벌레,0,0,0
2300264,위험한 유적의 공격병A,0,0,0
2300265,위험한 유적의 방어병A,0,0,0
2300266,위험한 유적의 공격병B,0,0,0
2300267,위험한 유적의 방어병B,0,0,0
2300268,유적의 거대 괴물,0,0,0
2300271,위험한 토기 토끼,0,0,0
2400000,바나로비,0,0,0
2400001,자나로비,0,0,0
2400002,세나로비,0,0,0
2400003,오렌지톤,0,0,0
2400004,베리톤,0,0,0
2400005,라라룽,0,0,0
2400006,카카룽,0,0,0
2400007,수상한 하급사제,0,0,0
2400008,수상한 중급사제,0,0,0
2400009,수상한 상급사제,0,0,0
2400010,변절한 하급사제,0,0,0
2400011,변절한 중급사제,0,0,0
2400012,변절자 우두머리,0,0,0
2400013,리버스톤,0,0,0
2400014,그라비톤,0,0,0
2400015,약화된 스펙터 전투견,0,0,0
2400016,약화된 스펙터 방패병,0,0,0
2400017,약화된 게릴라 스펙터,0,0,0
2400018,약화된 전사 스펙터,0,0,0
2400019,약화된 마법사 스펙터,0,0,0
2400020,약화된 사신 스펙터,0,0,0
2400100,블루스피,0,0,0
2400101,레드스피,0,0,0
2400102,옐로스피,0,0,0
2400103,다이노그,0,0,0
2400104,다이노르,0,0,0
2400105,다이노드,0,0,0
