key,name,npc,lvmin,exp,parent,job
1000,세라에게 거울 빌려오기,2101,0,0,세라의 거울,[0]
1001,히나에게 거울 가져가기,2100,0,1,세라의 거울,[0]
1003,센이 먹고 싶어 하는 것은?,2102,0,1,니나와 센의 저녁반찬,[0]
1004,니나에게 돌아가기,2001,0,3,니나와 센의 저녁반찬,[0]
1005,장로에게 전해줄 편지,2103,0,3,장로님에게 편지를 전해주세요,[0]
1006,장로의 답장,12000,0,10,장로님에게 편지를 전해주세요,[0]
1007,빅스의 아이템 수집,20002,0,50, ,[0]
1008,피오의 재활용품 수거,10000,0,100, ,[0]
1009,레인의 메이플 퀴즈1,12101,0,2,레인의 메이플 퀴즈,[0]
1010,레인의 메이플 퀴즈2,12101,0,4,레인의 메이플 퀴즈,[0]
1011,레인의 메이플 퀴즈3,12101,0,6,레인의 메이플 퀴즈,[0]
1012,레인의 메이플 퀴즈4,12101,0,10,레인의 메이플 퀴즈,[0]
1013,레인의 메이플 퀴즈5,12101,0,10,레인의 메이플 퀴즈,[0]
1014,레인의 메이플 퀴즈6,12101,0,10,레인의 메이플 퀴즈,[0]
1015,레인의 메이플 퀴즈7,12101,0,20,레인의 메이플 퀴즈,[0]
1016,마이의 수련,12100,0,70,마이의 수련,[0]
1017,마이의 마지막 수련,12100,0,50,마이의 수련,[0]
1018,토드의 사냥법,2004,0,10, ,[0]
1019,쌤의 제안,2005,0,30, ,[0]
1020,피오의 재활용품 활용,10000,0,30, ,[]
1021,로저와 사과,2000,0,30, ,[0]
1022,루카스의 귀여운 딸,12000,0,70, ,[0]
1023,돼지 퇴치,20002,0,100, ,[0]
1024,사랑의 고민 해결?!,2005,0,70, ,[0]
1025,마리아의 영양 주스,2103,0,50,마리아와 샹크스,[0]
1026,샹크스에게 영양 주스 전달하기,2103,0,100,마리아와 샹크스,[0]
1027,마이의 부탁,12100,0,20,새로운 세계를 향해,[0]
1028,리스항구로!,22000,0,130,새로운 세계를 향해,[0]
1029,쌤의 조언,2005,2,7, ,[0]
1030,마리아의 지도 보기,2103,0,11, ,[0]
1031,히나와 세라,2101,0,5, ,[0]
1032,다나의 동생 센,2102,0,7,다나의 부탁,[0]
1033,센이 먹고 싶은 것,2001,0,7,다나의 부탁,[0]
1034,맛있는 버섯사탕,2102,0,20,다나의 부탁,[0]
1035,토드의 사냥법 ,2004,0,30, ,[0]
1036,만물박사 로빈,2003,0,40, ,[0]
1037,달팽이 사냥 돕기,2005,0,180, ,[0]
1038,마리아의 편지,2103,0,40, ,[0]
1039,유나 도와주기,20100,0,100, ,[0]
1040,장로의 소개,12000,0,720, ,[0]
1041,마이의 첫번째 수련,12100,0,175,마이의 수련!,[0]
1042,마이의 두번째 수련,12100,0,200,마이의 수련!,[0]
1043,마이의 세번째 수련,12100,0,225,마이의 수련!,[0]
1044,마이의 마지막 수련 ,12100,0,750,마이의 수련!,[0]
1045,바리의 테스트,20001,0,700, ,[0]
1046,빅스의 빅토리아 아일랜드 이야기,20002,0,500, ,[0]
1047,몬스터북 지정몬스터 효과,2006,0,500, ,[]
1048,직업 추천,9010000,8,500, ,[0]
1049,전사 전직 하기,9010000,10,500, ,[0]
1050,마법사 전직 하기,9010000,10,500, ,[0]
1051,궁수 전직하기,9010000,10,500, ,[0]
